place,url,scrape_time,day_of_week,hour_of_day,popularity_percent_normal,popularity_percent_current
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,17,90,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,18,88,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,19,76,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,20,57,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,21,36,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,22,20,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Wednesday,23,9,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,,2,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,1,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,2,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,3,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,4,1,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,5,5,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,6,30,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,7,60,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,8,57,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,9,29,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,10,15,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,11,19,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,12,32,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,13,48,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,14,65,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,15,79,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,16,86,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,17,85,
AnRYn1F8NfSGLexf7.20200318_161636,https://goo.gl/maps/AnRYn1F8NfSGLexf7,20200318_161636,Thursday,18,77,
